IGLV1*01	67	108	154	174	271	294
IGLV2*01	67	108	154	174	271	294
IGLV7*02	57	95	141	161	0	0
IGLV2*02	67	108	154	174	271	294
IGLV4*02	57	95	141	161	0	0
IGLV5*01	57	95	141	161	0	0
IGLV8*02	57	95	141	161	0	0
IGLV8*01	57	95	141	161	0	0
IGLV7*01	57	95	141	161	0	0
IGLV6*01	57	95	141	161	0	0
IGLV3*01	67	102	160	180	277	313
IGLV3*01	67	102	160	180	277	309
IGLV4*01	57	95	141	161	0	0
IGLV4*01	57	95	141	161	0	0
IGLV1*02	67	108	154	174	271	294
IGLV2*01	67	108	154	174	271	294
IGLV6*02	57	95	141	161	0	0
IGLV6*03	57	95	141	161	0	0
IGLV8*01	57	95	141	161	0	0
